state,period,metric,value,kind,report,source_sha,pdf_page,table_ref
CA,2019-06,ist_pending_placement,849.0,annual_fy_table,may2024-25.pdf,654f3ec78ae2,125,Table 2
CA,2020-02,ist_pending_placement,850.0,prose_snapshot,may2025-26.pdf,e1d747e0e150,66,
CA,2020-03,ist_pending_placement,869.0,prose_snapshot,gov2023-24.pdf,22a233b5a56b,15,
CA,2020-05,ist_pending_placement,1144.0,prose_snapshot,gov2023-24.pdf,22a233b5a56b,15,
CA,2020-06,ist_pending_placement,1212.0,annual_fy_table,may2025-26.pdf,e1d747e0e150,127,Table 2
CA,2021-06,ist_pending_placement,1454.0,annual_fy_table,may2026-27.pdf,f4933cdccac3,125,Table 2
CA,2022-01,ist_pending_placement,1953.0,prose_snapshot,may2026-27.pdf,f4933cdccac3,15,
CA,2022-02,ist_pending_placement,1951.0,prose_snapshot,may2022-23.pdf,33f881887503,15,
CA,2022-06,ist_pending_placement,1779.0,annual_fy_table,may2026-27.pdf,f4933cdccac3,125,Table 2
CA,2022-07,ist_pending_placement,1718.0,prose_snapshot,may2024-25.pdf,654f3ec78ae2,125,
CA,2022-08,ist_pending_placement,1737.0,prose_snapshot,gov2023-24.pdf,22a233b5a56b,14,
CA,2022-12,ist_pending_placement,1473.0,prose_snapshot,gov2023-24.pdf,22a233b5a56b,91,
CA,2023-04,ist_pending_placement,804.0,prose_snapshot,may2023-24.pdf,4548799cca7d,91,
CA,2023-06,ist_pending_placement,894.0,prose_snapshot,may2024-25.pdf,654f3ec78ae2,125,
CA,2023-07,ist_pending_placement,910.0,prose_snapshot,may2025-26.pdf,e1d747e0e150,127,
CA,2023-11,ist_pending_placement,549.0,prose_snapshot,gov2024-25.pdf,2b6b2aea54e7,17,
CA,2024-01,ist_pending_placement,501.0,prose_snapshot,gov2024-25.pdf,2b6b2aea54e7,69,
CA,2024-05,ist_pending_placement,397.0,prose_snapshot,may2024-25.pdf,654f3ec78ae2,14,
CA,2024-06,ist_pending_placement,425.0,prose_snapshot,may2025-26.pdf,e1d747e0e150,127,
CA,2024-07,ist_pending_placement,383.0,prose_snapshot,may2026-27.pdf,f4933cdccac3,125,
CA,2024-09,ist_pending_placement,384.0,prose_snapshot,may2025-26.pdf,e1d747e0e150,127,
CA,2025-01,ist_pending_placement,359.0,prose_snapshot,gov2025-26.pdf,22afa42c6038,18,
CA,2025-05,ist_pending_placement,278.0,prose_snapshot,may2025-26.pdf,e1d747e0e150,67,
CA,2025-06,ist_pending_placement,287.0,prose_snapshot,may2026-27.pdf,f4933cdccac3,125,
CA,2025-08,ist_pending_placement,277.0,prose_snapshot,may2026-27.pdf,f4933cdccac3,125,
CA,2026-01,ist_pending_placement,275.0,prose_snapshot,gov2026-27.pdf,21b69d7476bd,50,
CA,2026-05,ist_pending_placement,256.0,prose_snapshot,may2026-27.pdf,f4933cdccac3,59,
