state,period,tier,metric,value,report,source_sha,pdf_page,is_multi_month_avg
CO,2020-01,1,tier_wait_days_restoration,2.47,sm_109331.pdf,6b043cc60956,12,True
CO,2020-02,1,tier_wait_days_restoration,1.6,sm_109331.pdf,6b043cc60956,12,False
CO,2020-03,1,tier_wait_days_restoration,3.6,sm_109331.pdf,6b043cc60956,12,False
CO,2020-04,1,tier_wait_days_restoration,10.3,sm_109331.pdf,6b043cc60956,12,False
CO,2023-01,1,tier_wait_days_restoration,81.1,sm_2023-11-28.pdf,bfd9e2a6c4f9,14,True
CO,2023-04,1,tier_wait_days_restoration,84.2,sm_2024-02-28.pdf,a56e90cfc477,13,True
CO,2023-07,1,tier_wait_days_restoration,109.1,sm_2024-05-28.pdf,a40739fe8c8d,12,True
CO,2023-08,1,tier_wait_days_restoration,131.9,sm_2023-11-28.pdf,bfd9e2a6c4f9,13,False
CO,2023-09,1,tier_wait_days_restoration,103.4,sm_2023-11-28.pdf,bfd9e2a6c4f9,13,False
CO,2023-10,1,tier_wait_days_restoration,128.3,sm_2024-08-28.pdf,a12d1c39eb26,12,True
CO,2023-11,1,tier_wait_days_restoration,50.5,sm_2024-02-28.pdf,a56e90cfc477,12,False
CO,2023-12,1,tier_wait_days_restoration,113.6,sm_2024-02-28.pdf,a56e90cfc477,12,False
CO,2024-01,1,tier_wait_days_restoration,92.0,sm_2024-08-28.pdf,a12d1c39eb26,12,True
CO,2024-02,1,tier_wait_days_restoration,48.5,sm_2024-05-28.pdf,a40739fe8c8d,11,False
CO,2024-03,1,tier_wait_days_restoration,58.1,sm_2024-05-28.pdf,a40739fe8c8d,11,False
CO,2024-04,1,tier_wait_days_restoration,54.3,sm_2025-02-28.pdf,000f3767374a,12,True
CO,2024-05,1,tier_wait_days_restoration,67.6,sm_2024-08-28.pdf,a12d1c39eb26,11,False
CO,2024-06,1,tier_wait_days_restoration,79.6,sm_2024-08-28.pdf,a12d1c39eb26,11,False
CO,2024-07,1,tier_wait_days_restoration,69.2,sm_2025-05-28.pdf,487689f248be,12,True
CO,2024-08,1,tier_wait_days_restoration,40.3,sm_2024-11-28.pdf,59e824a82223,11,False
CO,2024-09,1,tier_wait_days_restoration,43.8,sm_2024-11-28.pdf,59e824a82223,11,False
CO,2024-10,1,tier_wait_days_restoration,40.3,sm_2025-05-28.pdf,487689f248be,12,True
CO,2024-11,1,tier_wait_days_restoration,32.3,sm_2025-02-28.pdf,000f3767374a,11,False
CO,2024-12,1,tier_wait_days_restoration,49.6,sm_2025-02-28.pdf,000f3767374a,11,False
CO,2025-01,1,tier_wait_days_restoration,47.5,sm_2025-05-28.pdf,487689f248be,12,True
CO,2025-02,1,tier_wait_days_restoration,72.0,sm_2025-05-28.pdf,487689f248be,11,False
CO,2025-03,1,tier_wait_days_restoration,51.6,sm_2025-05-28.pdf,487689f248be,11,False
CO,2025-04,1,tier_wait_days_restoration,59.7,sm_2025-05-28.pdf,487689f248be,12,True
CO,2025-07,1,tier_wait_days_restoration,61.5,sm_2026-05-28.pdf,108af2f687c3,13,True
CO,2025-10,1,tier_wait_days_restoration,33.2,sm_2026-05-28.pdf,108af2f687c3,13,True
CO,2026-01,1,tier_wait_days_restoration,65.0,sm_2026-05-28.pdf,108af2f687c3,13,True
CO,2026-02,1,tier_wait_days_restoration,35.0,sm_2026-05-28.pdf,108af2f687c3,12,False
CO,2026-03,1,tier_wait_days_restoration,27.0,sm_2026-05-28.pdf,108af2f687c3,12,False
CO,2026-04,1,tier_wait_days_restoration,30.7,sm_2026-05-28.pdf,108af2f687c3,13,True
CO,2020-01,2,tier_wait_days_restoration,97.87,sm_109331.pdf,6b043cc60956,12,True
CO,2020-02,2,tier_wait_days_restoration,80.2,sm_109331.pdf,6b043cc60956,12,False
CO,2020-03,2,tier_wait_days_restoration,63.8,sm_109331.pdf,6b043cc60956,12,False
CO,2020-04,2,tier_wait_days_restoration,72.0,sm_109331.pdf,6b043cc60956,12,False
CO,2023-01,2,tier_wait_days_restoration,131.4,sm_2023-11-28.pdf,bfd9e2a6c4f9,14,True
CO,2023-04,2,tier_wait_days_restoration,140.2,sm_2024-02-28.pdf,a56e90cfc477,13,True
CO,2023-07,2,tier_wait_days_restoration,131.5,sm_2024-05-28.pdf,a40739fe8c8d,12,True
CO,2023-08,2,tier_wait_days_restoration,134.9,sm_2023-11-28.pdf,bfd9e2a6c4f9,13,False
CO,2023-09,2,tier_wait_days_restoration,121.7,sm_2023-11-28.pdf,bfd9e2a6c4f9,13,False
CO,2023-10,2,tier_wait_days_restoration,138.0,sm_2024-08-28.pdf,a12d1c39eb26,12,True
CO,2023-11,2,tier_wait_days_restoration,135.9,sm_2024-02-28.pdf,a56e90cfc477,12,False
CO,2023-12,2,tier_wait_days_restoration,125.4,sm_2024-02-28.pdf,a56e90cfc477,12,False
CO,2024-01,2,tier_wait_days_restoration,129.7,sm_2024-08-28.pdf,a12d1c39eb26,12,True
CO,2024-02,2,tier_wait_days_restoration,111.2,sm_2024-05-28.pdf,a40739fe8c8d,11,False
CO,2024-03,2,tier_wait_days_restoration,132.5,sm_2024-05-28.pdf,a40739fe8c8d,11,False
CO,2024-04,2,tier_wait_days_restoration,115.1,sm_2025-02-28.pdf,000f3767374a,12,True
CO,2024-05,2,tier_wait_days_restoration,95.4,sm_2024-08-28.pdf,a12d1c39eb26,11,False
CO,2024-06,2,tier_wait_days_restoration,107.2,sm_2024-08-28.pdf,a12d1c39eb26,11,False
CO,2024-07,2,tier_wait_days_restoration,104.1,sm_2025-05-28.pdf,487689f248be,12,True
CO,2024-08,2,tier_wait_days_restoration,111.3,sm_2024-11-28.pdf,59e824a82223,11,False
CO,2024-09,2,tier_wait_days_restoration,85.7,sm_2024-11-28.pdf,59e824a82223,11,False
CO,2024-10,2,tier_wait_days_restoration,95.3,sm_2025-05-28.pdf,487689f248be,12,True
CO,2024-11,2,tier_wait_days_restoration,93.0,sm_2025-02-28.pdf,000f3767374a,11,False
CO,2024-12,2,tier_wait_days_restoration,87.4,sm_2025-02-28.pdf,000f3767374a,11,False
CO,2025-01,2,tier_wait_days_restoration,80.3,sm_2025-05-28.pdf,487689f248be,12,True
CO,2025-02,2,tier_wait_days_restoration,65.3,sm_2025-05-28.pdf,487689f248be,11,False
CO,2025-03,2,tier_wait_days_restoration,65.9,sm_2025-05-28.pdf,487689f248be,11,False
CO,2025-04,2,tier_wait_days_restoration,70.8,sm_2025-05-28.pdf,487689f248be,12,True
CO,2025-07,2,tier_wait_days_restoration,92.2,sm_2026-05-28.pdf,108af2f687c3,13,True
CO,2025-10,2,tier_wait_days_restoration,92.7,sm_2026-05-28.pdf,108af2f687c3,13,True
CO,2026-01,2,tier_wait_days_restoration,89.4,sm_2026-05-28.pdf,108af2f687c3,13,True
CO,2026-02,2,tier_wait_days_restoration,81.0,sm_2026-05-28.pdf,108af2f687c3,12,False
CO,2026-03,2,tier_wait_days_restoration,82.0,sm_2026-05-28.pdf,108af2f687c3,12,False
CO,2026-04,2,tier_wait_days_restoration,82.4,sm_2026-05-28.pdf,108af2f687c3,13,True
