state,period,metric,value,report,source_sha,pdf_page,table_ref
OR,2023-11,admits,108.0,Oregon_Mink-Bowman_8th_Neutral_Expert_Pinals_Report.pdf,c6d07b7b8b85,10,
OR,2024-04,admits,96.0,Oregon_Mink-Bowman_9th_Neutral_Expert_Pinals_Report.pdf,644f4c528285,8,
OR,2025-04,admits,128.0,Oregon_Mink-Bowman_11th_Neutral_Expert_Pinals_Report.pdf,bc5eb1b045db,16,
OR,2025-08,admits,107.0,2025.09.05-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,41bc87a152be,7,
OR,2025-11,admits,69.0,2025.12.06-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,e1e414ae8b85,14,
OR,2025-03,avg_wait_days,25.4,Oregon_Mink-Bowman_11th_Neutral_Expert_Pinals_Report.pdf,bc5eb1b045db,16,
OR,2025-04,avg_wait_days,20.7,Oregon_Mink-Bowman_11th_Neutral_Expert_Pinals_Report.pdf,bc5eb1b045db,16,
OR,2025-07,avg_wait_days,9.7,2025.09.05-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,41bc87a152be,7,
OR,2025-08,avg_wait_days,10.2,2025.09.05-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,41bc87a152be,7,
OR,2025-11,avg_wait_days,19.1,2025.12.06-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,e1e414ae8b85,14,
OR,2022-01,beds_active,706.0,Oregon_Mink-Bowman_1st_Neutral_Expert_Pinals_Report.pdf,97eb8e2eb8ea,7,Table 2
OR,2022-05,beds_active,706.0,Oregon_Mink-Bowman_2nd_Neutral_Expert_Pinals_Report.pdf,48483a4066dc,10,Table 2
OR,2022-09,beds_active,706.0,Oregon_Mink-Bowman_3rd_Neutral_Expert_Pinals_Report.pdf,79f1ec42d8b3,9,Table 2
OR,2022-12,beds_active,699.0,Oregon_Mink-Bowman_4th_Neutral_Expert_Pinals_Report.pdf,ff501816e95b,8,Table 2
OR,2023-04,beds_active,704.0,Oregon_Mink-Bowman_5th_Neutral_Expert_Pinals_Report.pdf,4e577307a8f5,8,Table 2
OR,2023-07,beds_active,704.0,Oregon_Mink-Bowman_6th_Neutral_Expert_Pinals_Report.pdf,a2734d9ada88,9,Table 2
OR,2023-11,beds_active,704.0,Oregon_Mink-Bowman_8th_Neutral_Expert_Pinals_Report.pdf,c6d07b7b8b85,9,Table 2
OR,2024-04,beds_active,705.0,Oregon_Mink-Bowman_9th_Neutral_Expert_Pinals_Report.pdf,644f4c528285,10,Table 2
OR,2024-11,beds_active,705.0,Oregon_Mink-Bowman_10th_Neutral_Expert_Pinals_Report.pdf,afd7d720e8e4,11,Table 2
OR,2025-04,beds_active,705.0,Oregon_Mink-Bowman_11th_Neutral_Expert_Pinals_Report.pdf,bc5eb1b045db,14,Table 3
OR,2025-08,beds_active,705.0,2025.09.05-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,41bc87a152be,10,Table 2
OR,2025-11,beds_active,704.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 2
OR,2022-01,beds_licensed,743.0,Oregon_Mink-Bowman_1st_Neutral_Expert_Pinals_Report.pdf,97eb8e2eb8ea,7,Table 2
OR,2022-05,beds_licensed,743.0,Oregon_Mink-Bowman_2nd_Neutral_Expert_Pinals_Report.pdf,48483a4066dc,10,Table 2
OR,2022-09,beds_licensed,743.0,Oregon_Mink-Bowman_3rd_Neutral_Expert_Pinals_Report.pdf,79f1ec42d8b3,9,Table 2
OR,2022-12,beds_licensed,743.0,Oregon_Mink-Bowman_4th_Neutral_Expert_Pinals_Report.pdf,ff501816e95b,8,Table 2
OR,2023-04,beds_licensed,743.0,Oregon_Mink-Bowman_5th_Neutral_Expert_Pinals_Report.pdf,4e577307a8f5,8,Table 2
OR,2023-07,beds_licensed,743.0,Oregon_Mink-Bowman_6th_Neutral_Expert_Pinals_Report.pdf,a2734d9ada88,9,Table 2
OR,2023-11,beds_licensed,743.0,Oregon_Mink-Bowman_8th_Neutral_Expert_Pinals_Report.pdf,c6d07b7b8b85,9,Table 2
OR,2024-04,beds_licensed,742.0,Oregon_Mink-Bowman_9th_Neutral_Expert_Pinals_Report.pdf,644f4c528285,10,Table 2
OR,2024-11,beds_licensed,742.0,Oregon_Mink-Bowman_10th_Neutral_Expert_Pinals_Report.pdf,afd7d720e8e4,11,Table 2
OR,2025-04,beds_licensed,742.0,Oregon_Mink-Bowman_11th_Neutral_Expert_Pinals_Report.pdf,bc5eb1b045db,14,Table 3
OR,2025-08,beds_licensed,742.0,2025.09.05-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,41bc87a152be,10,Table 2
OR,2025-11,beds_licensed,738.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 2
OR,2022-09,census_aa,410.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2022-12,census_aa,396.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2023-04,census_aa,400.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2023-07,census_aa,389.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2023-11,census_aa,366.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2024-04,census_aa,360.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2024-11,census_aa,375.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2025-04,census_aa,383.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2025-08,census_aa,394.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2025-11,census_aa,396.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2026-03,census_aa,386.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2022-09,census_civil,14.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2022-12,census_civil,13.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2023-04,census_civil,11.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2023-07,census_civil,13.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2023-11,census_civil,17.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2024-04,census_civil,30.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2024-11,census_civil,27.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2025-04,census_civil,28.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2025-08,census_civil,37.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
OR,2025-11,census_civil,37.0,2026.03.16-Oregon-Mink-Bowman-Court-Monitor-Report.pdf,f2fef3af0f37,12,Table 3
