state,period,facility,stage,setting,orders_signed,orders_completed,avg_days_to_completion,median_days_to_completion,pct_within_deadline,pct_within_alt2,pct_within_alt3,report,source_url,source_sha,pdf_page,table_ref
WA,2018-01,ESH,evaluation,inpatient,8.0,,5.9,5.5,70.0,70.0,70.0,Trueblood-Report-2019-02.pdf,(local) Trueblood-Report-2019-02.pdf,29f42cc9a6bb,11,Table 2b
WA,2018-02,ESH,evaluation,inpatient,5.0,,8.0,8.0,14.0,14.0,14.0,Trueblood-Report-2019-02.pdf,(local) Trueblood-Report-2019-02.pdf,29f42cc9a6bb,11,Table 2b
WA,2018-03,ESH,evaluation,inpatient,13.0,,14.9,15.0,6.0,6.0,6.0,Trueblood-Report-2019-02.pdf,(local) Trueblood-Report-2019-02.pdf,29f42cc9a6bb,11,Table 2b
WA,2018-04,ESH,evaluation,inpatient,7.0,12.0,18.8,17.5,0.0,0.0,0.0,Trueblood-Report-2019-05.pdf,(local) Trueblood-Report-2019-05.pdf,48ba75917cc4,11,Table 2b
WA,2018-05,ESH,evaluation,inpatient,11.0,4.0,14.0,15.0,8.0,8.0,8.0,Trueblood-Report-2019-05.pdf,(local) Trueblood-Report-2019-05.pdf,48ba75917cc4,11,Table 2b
WA,2018-06,ESH,evaluation,inpatient,10.0,8.0,24.7,23.0,0.0,0.0,0.0,Trueblood-Report-2019-07.pdf,(local) Trueblood-Report-2019-07.pdf,a2b6ac7e38ef,11,Table 2b
WA,2018-07,ESH,evaluation,inpatient,9.0,12.0,16.7,16.0,20.0,20.0,20.0,Trueblood-Report-2019-07.pdf,(local) Trueblood-Report-2019-07.pdf,a2b6ac7e38ef,11,Table 2b
WA,2018-08,ESH,evaluation,inpatient,9.0,9.0,27.2,33.0,11.0,11.0,11.0,Trueblood-Report-2019-07.pdf,(local) Trueblood-Report-2019-07.pdf,a2b6ac7e38ef,11,Table 2b
WA,2018-09,ESH,evaluation,inpatient,5.0,7.0,21.4,23.0,0.0,0.0,0.0,Trueblood-Report-2019-10.pdf,(local) Trueblood-Report-2019-10.pdf,68a64fa8c402,12,Table 6
WA,2018-10,ESH,evaluation,inpatient,8.0,8.0,13.9,15.5,38.0,38.0,50.0,Trueblood-Report-2019-11.pdf,(local) Trueblood-Report-2019-11.pdf,6ba93df67949,12,Table 6
WA,2018-11,ESH,evaluation,inpatient,13.0,13.0,19.0,18.0,0.0,15.0,15.0,Trueblood-Report-2019-12.pdf,(local) Trueblood-Report-2019-12.pdf,ff3749aafc99,12,Table 6
WA,2018-12,ESH,evaluation,inpatient,16.0,10.0,15.3,14.5,10.0,10.0,20.0,Trueblood-Report-2020-01.pdf,(local) Trueblood-Report-2020-01.pdf,9eb8848df148,13,Table 6
WA,2019-01,ESH,evaluation,inpatient,7.0,11.0,24.2,25.0,0.0,0.0,9.0,Trueblood-Report-2020-02.pdf,(local) Trueblood-Report-2020-02.pdf,2a357dc93979,14,Table 6
WA,2019-02,ESH,evaluation,inpatient,5.0,5.0,17.4,16.0,0.0,0.0,0.0,Trueblood-Report-2020-02.pdf,(local) Trueblood-Report-2020-02.pdf,2a357dc93979,14,Table 6
WA,2019-03,ESH,evaluation,inpatient,15.0,9.0,12.1,1.0,33.0,33.0,56.0,Trueblood-Report-2020-02.pdf,(local) Trueblood-Report-2020-02.pdf,2a357dc93979,14,Table 6
WA,2019-04,ESH,evaluation,inpatient,16.0,8.0,22.5,25.5,13.0,13.0,13.0,Trueblood-Report-2020-02.pdf,(local) Trueblood-Report-2020-02.pdf,2a357dc93979,14,Table 6
WA,2019-05,ESH,evaluation,inpatient,10.0,17.0,39.3,44.0,6.0,6.0,6.0,Trueblood-Report-2020-06.pdf,(local) Trueblood-Report-2020-06.pdf,99295309355d,16,Table 6
WA,2019-06,ESH,evaluation,inpatient,9.0,8.0,47.1,50.5,0.0,0.0,0.0,Trueblood-Report-2020-07.pdf,(local) Trueblood-Report-2020-07.pdf,7f9e598ef9df,16,Table 6
WA,2019-07,ESH,evaluation,inpatient,10.0,11.0,40.3,41.0,0.0,0.0,9.0,Trueblood-Report-2020-07.pdf,(local) Trueblood-Report-2020-07.pdf,7f9e598ef9df,16,Table 6
WA,2019-08,ESH,evaluation,inpatient,9.0,15.0,28.7,21.0,20.0,20.0,20.0,Trueblood-Report-2020-07.pdf,(local) Trueblood-Report-2020-07.pdf,7f9e598ef9df,16,Table 6
WA,2019-09,ESH,evaluation,inpatient,13.0,9.0,24.7,16.0,11.0,11.0,22.0,Trueblood-Report-2020-10.pdf,(local) Trueblood-Report-2020-10.pdf,2bedf0f4cfff,19,Table 6
WA,2019-10,ESH,evaluation,inpatient,6.0,11.0,36.8,41.0,0.0,0.0,9.0,Trueblood-Report-2020-11.pdf,(local) Trueblood-Report-2020-11.pdf,595ab0efa441,19,Table 6
WA,2019-11,ESH,evaluation,inpatient,10.0,8.0,24.5,20.5,13.0,13.0,13.0,Trueblood-Report-2020-12.pdf,(local) Trueblood-Report-2020-12.pdf,197278ce3fbf,18,Table 6
WA,2019-12,ESH,evaluation,inpatient,13.0,11.0,21.6,21.0,18.0,18.0,36.0,Trueblood-Report-2021-01.pdf,(local) Trueblood-Report-2021-01.pdf,ee5f4e460f7b,18,Table 6
WA,2020-01,ESH,evaluation,inpatient,11.0,9.0,19.2,23.0,11.0,11.0,11.0,Trueblood-Report-2021-02.pdf,(local) Trueblood-Report-2021-02.pdf,b54a5a28745c,17,Table 6
WA,2020-02,ESH,evaluation,inpatient,4.0,8.0,26.3,22.0,25.0,25.0,38.0,Trueblood-Report-2021-03.pdf,(local) Trueblood-Report-2021-03.pdf,6b2aa713e0fb,17,Table 6
WA,2020-03,ESH,evaluation,inpatient,7.0,5.0,56.0,56.0,0.0,0.0,0.0,Trueblood-Report-2021-04.pdf,(local) Trueblood-Report-2021-04.pdf,4b588bfa8cf2,17,Table 6
WA,2020-04,ESH,evaluation,inpatient,2.0,4.0,16.8,12.0,50.0,50.0,50.0,Trueblood-Report-2021-05.pdf,(local) Trueblood-Report-2021-05.pdf,0cb3da8cda63,17,Table 6
WA,2020-05,ESH,evaluation,inpatient,3.0,3.0,48.3,44.0,0.0,0.0,0.0,Trueblood-Report-2021-06.pdf,(local) Trueblood-Report-2021-06.pdf,aecc13a6d1dc,17,Table 6
WA,2020-06,ESH,evaluation,inpatient,16.0,2.0,108.0,108.0,0.0,0.0,0.0,Trueblood-Report-2021-07.pdf,(local) Trueblood-Report-2021-07.pdf,5d748b19d1a9,17,Table 6
WA,2020-07,ESH,evaluation,inpatient,13.0,5.0,36.4,28.0,20.0,20.0,40.0,Trueblood-Report-2021-07.pdf,(local) Trueblood-Report-2021-07.pdf,5d748b19d1a9,17,Table 6
WA,2020-08,ESH,evaluation,inpatient,2.0,11.0,66.2,55.0,0.0,0.0,0.0,Trueblood-Report-2021-09.pdf,(local) Trueblood-Report-2021-09.pdf,19b1ac35a2cc,17,Table 6
WA,2020-09,ESH,evaluation,inpatient,11.0,15.0,48.2,62.0,13.0,13.0,13.0,Trueblood-Report-2021-10.pdf,(local) Trueblood-Report-2021-10.pdf,97de982233a3,17,Table 6
WA,2020-10,ESH,evaluation,inpatient,20.0,14.0,40.0,14.5,29.0,36.0,50.0,Trueblood-Report-2021-11.pdf,(local) Trueblood-Report-2021-11.pdf,a4ddd236f8ce,17,Table 6
WA,2020-11,ESH,evaluation,inpatient,12.0,7.0,86.1,84.0,0.0,0.0,0.0,Trueblood-Report-2021-12.pdf,(local) Trueblood-Report-2021-12.pdf,84321c2e419d,17,Table 6
WA,2020-12,ESH,evaluation,inpatient,14.0,19.0,49.8,35.0,0.0,0.0,0.0,Trueblood-Report-2022-01.pdf,(local) Trueblood-Report-2022-01.pdf,80a1c9a9027a,17,Table 6
WA,2021-01,ESH,evaluation,inpatient,17.0,10.0,49.1,40.5,10.0,10.0,20.0,Trueblood-Report-2022-02.pdf,(local) Trueblood-Report-2022-02.pdf,7e0983577785,19,Table 6
WA,2021-02,ESH,evaluation,inpatient,14.0,29.0,46.0,45.0,0.0,0.0,17.0,Trueblood-Report-2022-03.pdf,(local) Trueblood-Report-2022-03.pdf,758295511742,19,Table 6
WA,2021-03,ESH,evaluation,inpatient,23.0,18.0,27.6,22.5,11.0,11.0,17.0,Trueblood-Report-2022-03.pdf,(local) Trueblood-Report-2022-03.pdf,758295511742,19,Table 6
WA,2021-04,ESH,evaluation,inpatient,8.0,22.0,29.9,29.0,5.0,5.0,14.0,Trueblood-Report-2022-05.pdf,(local) Trueblood-Report-2022-05.pdf,6fa242a431c7,19,Table 6
WA,2021-05,ESH,evaluation,inpatient,10.0,8.0,19.3,26.0,13.0,13.0,25.0,Trueblood-Report-2022-06.pdf,(local) Trueblood-Report-2022-06.pdf,fac7ad731caf,19,Table 6
WA,2021-06,ESH,evaluation,inpatient,8.0,11.0,17.8,24.0,0.0,0.0,36.0,Trueblood-Report-2022-07.pdf,(local) Trueblood-Report-2022-07.pdf,1ed794b880ce,19,Table 6
WA,2021-07,ESH,evaluation,inpatient,8.0,8.0,9.4,9.0,13.0,13.0,13.0,Trueblood-Report-2022-08.pdf,(local) Trueblood-Report-2022-08.pdf,76874be56410,19,Table 6
WA,2021-08,ESH,evaluation,inpatient,12.0,5.0,27.6,28.0,20.0,20.0,20.0,Trueblood-Report-2022-09.pdf,(local) Trueblood-Report-2022-09.pdf,74671e617b2c,19,Table 6
